Age,Sex,Wing,Weight,Year
A,F,128,104,1992
J,M,133,90,1990
J,M,130,94,1990
J,M,130,95,1990
F,M,,120,1991
F,M,,118,1991
F,M,131,104,1991
A,M,132,120,1991
A,M,133,100,1992
J,M,125,83,1990
J,M,126,92,1990
J,M,127,93,1990
J,M,128,95,1990
A,M,132,115,1992
J,M,128,96,1990
J,M,132,103,1990
J,M,127,98,1990
J,F,128,92,1990
J,F,128,88,1990
J,M,131,100,1990
J,M,132,92,1990
J,F,125,95,1990
J,M,122,89,1990
J,M,125,95,1990
J,M,126,94,1990
F,M,125,100,1990
J,M,128,88,1990
F,M,126,96,1990
F,M,128,109,1991
A,M,,116,1992
J,F,126,109,1990
J,M,127,92,1990
J,M,128,88,1990
J,M,129,83,1990
J,M,126,91,1990
F,M,129,94,1991
J,F,120,89,1990
J,F,122,95,1990
J,F,122,106,1990
F,F,123,101,1990
A,F,125,99,1993
J,F,124,102,1990
F,F,124,100,1990
F,U,123,110,1991
J,F,122,,1990
F,M,127,94,1990
F,M,125,98,1990
F,F,128,117,1990
F,M,132,98,1990
F,F,124,92,1990
A,M,129,86,1990
A,M,134,123,1990
A,M,139,124,1991
F,M,127,,1991
A,F,127,110,1991
U,F,124,,1991
U,F,,95,1991
A,F,125,99,1991
F,F,128,108,1991
A,F,132,114,1991
A,F,,108,1991
A,M,136,114,1991
A,M,135,118,1991
F,M,128,112,1991
A,F,,110,1991
A,M,128,119,1991
A,M,129,117,1992
F,F,125,102,1991
F,F,,104,1991
F,F,126,86,1991
A,M,133,104,1991
A,M,140,120,1991
F,M,128,116,1991
F,M,129,104,1991
F,M,129,98,1991
A,M,134,94,1991
A,M,134,109,1992
A,M,137,98,1992
U,M,130,101,1992
A,M,134,100,1993
A,M,135,107,1996
A,M,134,97,1996
A,M,134,94,1996
A,M,136,100,1998
A,M,135,111,1998
A,M,130,101,1991
A,M,139,127,1991
A,F,131,112,1991
F,M,133,121,1991
F,F,121,92,1991
F,F,121,93,1991
A,F,125,,1995
F,M,129,96,1991
F,M,124,87,1991
F,M,129,87,1991
F,M,133,98,1991
A,M,136,103,1991
A,M,,120,1992
A,M,138,108,1992
A,M,138,96,1996
A,M,135,97,1992
J,M,120,95,1991
A,M,133,88,1991
J,U,126,88,1991
F,M,125,89,1991
J,M,131,99,1991
F,M,,118,1992
A,M,135,136,1995
A,M,135,114,1996
J,M,122,96,1991
J,F,127,84,1991
J,F,128,97,1991
A,M,127,94,1991
A,M,127,93,1992
A,F,132,124,1991
F,M,127,119,1991
F,M,128,115,1992
A,F,133,110,1991
A,M,135,111,1991
F,M,128,123,1991
F,M,128,114,1992
F,M,,108,1992
F,M,128,108,1992
F,M,,108,1992
A,M,132,107,1993
A,M,131,108,1993
A,M,131,101,1993
A,M,130,111,1994
A,M,128,,1994
A,M,130,137,1995
A,M,132,130,1995
A,M,131,120,1995
A,M,132,102,1995
A,M,131,99,1995
A,M,131,96,1996
F,M,131,108,1992
U,M,137,98,1992
A,M,136,96,1992
A,M,134,122,1992
A,M,139,120,1992
A,F,130,110,1992
F,M,128,105,1992
F,M,132,108,1992
F,F,123,106,1992
F,F,122,97,1992
F,M,133,114,1992
A,M,131,119,1994
A,M,132,117,1992
F,M,138,114,1992
F,M,,120,1992
F,M,,102,1992
A,M,132,111,1992
A,M,130,101,1992
A,M,134,126,1995
A,M,133,99,1995
A,M,133,100,1996
A,M,133,91,1996
F,M,132,119,1992
A,F,132,125,1992
A,F,,127,1992
A,F,132,128,1992
A,F,132,122,1992
A,F,133,125,1992
F,F,125,102,1992
F,F,125,95,1992
F,F,125,96,1992
F,F,125,100,1992
A,F,128,101,1993
F,F,128,97,1992
F,F,,99,1992
F,F,127,100,1992
A,M,136,110,1992
A,F,132,110,1992
F,M,133,106,1992
A,M,135,98,1995
F,M,125,104,1992
F,M,,101,1992
F,M,,104,1992
F,M,,122,1992
F,M,126,92,1992
F,F,126,110,1992
F,F,126,97,1992
F,F,125,99,1992
A,M,138,113,1992
F,F,125,117,1992
F,F,,119,1992
F,F,,126,1992
F,F,126,121,1992
A,F,122,110,1992
A,F,,107,1992
F,M,134,103,1992
F,M,134,108,1992
F,M,134,103,1992
F,M,,101,1992
F,U,131,88,1992
F,M,128,119,1992
F,F,130,89,1992
F,M,133,105,1992
F,M,135,114,1992
F,M,132,109,1992
F,M,131,101,1992
F,F,118,102,1992
F,F,117,105,1992
F,F,119,102,1992
A,F,122,104,1993
A,F,122,95,1993
A,F,120,,1993
A,F,123,90,1996
A,F,123,98,1996
A,F,123,107,1997
A,F,124,100,1997
F,M,128,103,1992
F,F,130,130,1992
F,F,,129,1992
F,F,,133,1992
F,F,127,126,1992
F,F,123,102,1992
A,M,133,106,1992
A,F,131,114,1992
A,M,136,121,1992
F,F,128,98,1992
F,F,131,106,1992
F,F,,121,1992
F,F,132,106,1992
F,F,130,109,1992
F,M,127,105,1992
F,M,127,133,1992
A,M,134,107,1992
A,M,,108,1994
A,F,128,108,1992
F,F,123,99,1992
F,F,123,101,1992
A,M,131,125,1992
F,M,124,107,1992
A,F,127,108,1992
F,M,126,125,1992
A,M,130,98,1992
A,M,130,98,1993
A,F,130,112,1992
F,F,131,110,1992
F,M,129,101,1992
F,F,124,98,1992
A,F,126,116,1992
U,F,126,98,1993
A,M,134,100,1992
A,M,135,100,1992
F,M,129,101,1992
F,M,135,117,1992
A,F,135,111,1992
F,M,129,105,1992
F,F,123,99,1992
F,M,132,99,1992
J,M,125,91,1992
J,M,130,91,1992
J,M,128,88,1992
J,U,128,80,1992
J,U,,77,1992
J,M,126,88,1992
J,F,116,87,1992
J,M,125,95,1992
J,M,125,,1992
F,M,126,100,1992
J,F,124,86,1992
J,M,131,97,1992
J,M,130,100,1992
F,M,129,103,1993
F,M,130,103,1993
F,M,130,89,1993
F,M,130,92,1993
A,M,135,121,1994
A,M,130,105,1994
A,M,135,109,1994
A,M,135,110,1994
A,M,,108,1994
A,M,,104,1994
A,M,,101,1994
A,M,134,130,1995
A,M,134,98,1995
A,M,134,95,1995
A,M,135,95,1996
J,F,122,98,1992
J,F,128,102,1992
F,M,131,108,1992
F,M,131,110,1992
F,M,132,101,1992
F,M,126,92,1992
A,F,128,99,1992
F,M,123,97,1992
F,F,128,,1992
F,M,129,100,1992
A,F,128,112,1992
A,F,130,125,1992
A,F,125,112,1992
A,F,136,147,1992
A,F,135,116,1993
F,M,127,123,1993
F,F,123,118,1993
F,F,122,105,1993
F,F,122,99,1993
F,M,130,102,1993
F,M,130,98,1993
F,F,121,111,1993
A,F,126,104,1996
F,F,122,96,1993
F,M,130,111,1993
F,M,129,104,1993
A,M,138,115,1993
A,F,126,96,1993
F,F,127,99,1993
F,F,127,98,1993
A,F,130,95,1995
A,F,130,93,1996
F,F,123,91,1993
A,F,125,99,1994
A,F,124,96,1994
A,F,126,100,1995
A,F,125,92,1995
A,F,128,98,1993
A,F,127,102,1993
A,F,129,110,1996
A,F,130,109,1996
A,F,130,106,1996
A,F,,108,1997
A,F,129,108,1998
A,F,132,106,1998
A,F,130,112,1998
A,F,,105,1999
A,F,129,121,1999
A,F,128,101,2000
A,F,128,,2000
A,F,127,114,2001
F,M,130,98,1993
F,M,133,100,1993
A,M,,100,1994
A,M,,103,1994
A,M,138,91,1996
A,M,138,86,1996
A,M,138,90,1996
F,F,128,90,1993
F,M,127,94,1993
F,M,126,,1993
F,M,125,97,1993
A,M,,121,1994
A,M,135,105,1994
A,M,134,124,1995
A,M,135,106,1995
A,M,135,100,1995
U,M,,108,1995
A,M,136,101,1996
A,M,137,104,1996
J,M,122,83,1993
F,U,127,99,1993
J,U,,89,1993
F,M,129,97,1993
F,M,124,92,1993
A,M,131,120,1993
A,M,130,92,1994
A,F,130,100,1993
J,F,125,96,1993
J,M,123,94,1993
J,M,131,102,1993
J,M,132,99,1993
J,M,132,99,1993
A,M,135,92,1997
A,M,134,104,1998
F,F,125,105,1993
J,U,128,99,1993
F,M,,98,1994
F,M,126,93,1994
A,M,133,103,1995
A,M,133,100,1995
J,U,123,85,1993
J,M,130,101,1993
J,M,128,101,1993
F,M,127,107,1994
A,M,131,118,1995
A,M,132,114,1995
A,M,130,99,1995
A,M,129,93,1996
J,F,125,94,1993
F,F,123,86,1993
J,F,127,99,1993
F,F,127,106,1994
F,F,125,105,1994
F,F,127,103,1994
F,F,126,102,1994
F,F,127,93,1994
A,F,129,94,1995
J,M,130,95,1993
J,U,132,104,1993
A,F,,96,1995
J,M,131,105,1993
F,M,131,113,1994
F,M,130,99,1994
F,M,128,98,1994
A,M,134,125,1995
A,M,133,100,1995
A,M,133,104,1996
J,M,133,104,1993
U,M,131,99,1993
F,F,131,117,1993
F,F,130,124,1994
U,F,132,104,1995
F,F,127,125,1994
F,F,128,100,1994
F,F,128,118,1994
F,F,126,116,1994
A,F,129,104,1994
A,F,128,100,1996
F,F,122,110,1995
A,F,123,87,1996
A,F,123,88,1996
A,F,123,85,1996
A,F,123,99,1998
A,F,123,108,1998
J,F,125,,1994
A,F,130,,1994
A,M,135,120,1994
F,M,133,131,1994
A,M,136,108,1998
A,M,137,101,1998
A,M,137,114,1998
A,M,137,111,1998
A,M,137,102,1999
A,M,138,110,1999
A,M,138,104,2000
A,M,137,108,2000
A,M,137,113,2001
A,M,137,95,2001
A,M,132,113,2001
A,M,136,126,1994
A,M,137,121,1995
A,M,136,114,1995
A,F,123,117,1994
U,F,122,110,1994
F,M,130,128,1994
F,M,133,126,1994
A,F,133,117,1994
F,F,123,112,1994
F,M,131,110,1994
A,F,130,115,1994
A,F,128,91,1995
A,F,133,115,1995
A,F,134,120,1995
A,M,134,126,1995
A,M,134,122,1995
A,F,125,118,1995
A,F,124,98,1996
A,M,135,118,1995
A,F,129,107,1995
A,M,133,133,1995
A,M,131,134,1995
A,M,134,138,1995
A,M,136,118,1995
F,F,,112,1995
F,F,127,116,1995
A,M,140,115,1995
F,M,127,127,1995
F,M,130,116,1995
F,F,122,119,1995
F,F,121,113,1995
F,M,127,116,1995
A,M,140,134,1995
A,F,135,124,1995
A,M,135,124,1995
F,F,128,96,1995
F,F,128,102,1995
A,F,132,134,1995
A,F,132,121,1995
A,F,132,117,1995
A,M,138,135,1995
F,F,125,103,1994
F,F,128,112,1994
F,F,,112,1994
A,F,130,104,1995
A,M,136,118,1994
F,M,127,112,1994
A,M,130,106,1994
A,M,130,100,1994
A,M,130,112,1994
F,M,133,106,1994
F,M,129,113,1994
A,M,135,98,1995
F,M,128,105,1994
F,M,131,109,1994
F,M,131,110,1994
F,F,122,103,1994
F,F,,109,1994
A,M,135,97,1994
A,M,139,107,1994
A,M,141,118,1995
A,M,141,95,1995
A,M,141,100,1995
A,M,141,99,1995
A,M,141,98,1995
A,M,141,97,1995
A,M,141,92,1995
A,F,123,100,1994
A,F,129,112,1994
A,F,128,114,1994
A,F,137,131,1995
A,F,131,113,1995
A,F,131,109,1995
A,F,132,116,1995
A,F,131,117,1994
A,M,133,125,1994
F,F,135,119,1994
F,F,137,113,1994
F,M,131,100,1994
U,F,134,112,1994
A,F,127,111,1994
A,M,131,122,1994
F,F,124,119,1994
A,M,136,108,1994
F,F,121,117,1994
F,M,126,107,1994
A,M,131,98,1996
F,M,130,107,1994
F,F,128,96,1994
F,F,125,97,1994
F,F,124,89,1994
F,F,124,,1994
J,M,122,89,1994
J,F,123,,1994
J,U,123,,1994
J,M,121,,1994
F,M,128,97,1994
A,M,132,114,1996
A,F,127,,1994
J,M,,82,2002
J,M,130,84,2002
J,M,,87,2002
J,M,,60,2002
J,U,,88,2002
F,M,134,118,2002
A,M,131,106,2002
A,M,130,97,2002
A,F,131,98,2002
A,F,131,104,2003
F,M,129,113,2002
A,M,133,116,2003
F,F,131,119,2002
A,F,131,113,2003
F,M,134,118,2003
F,M,134,128,2003
U,M,134,116,2004
A,M,135,110,2004
A,M,136,106,2005
A,M,137,94,2005
A,M,137,102,2005
A,M,135,113,2006
A,M,136,103,2006
A,M,135,97,2006
A,M,,95,2006
A,M,136,109,2007
F,F,131,121,2003
A,F,128,103,2004
F,F,124,105,2003
F,M,127,102,2003
F,M,136,132,2003
A,F,131,129,2003
A,F,131,131,2003
A,F,132,129,2003
A,F,132,131,2003
A,F,132,123,2003
A,M,138,128,2003
A,M,138,125,2003
A,M,134,126,2003
A,M,138,133,2003
F,F,124,110,2003
F,F,124,114,2003
F,F,124,110,2003
A,M,136,119,2003
A,M,136,114,2003
A,M,136,102,2003
A,M,135,131,2003
A,M,139,134,2003
A,M,137,133,2003
A,F,127,124,2003
F,F,126,122,2003
A,F,130,109,2003
A,M,132,122,2003
F,M,130,120,2003
A,F,124,111,2003
A,F,125,115,2003
A,F,125,117,2003
A,F,124,106,2003
A,F,124,111,2003
A,F,124,111,2003
A,F,126,100,2004
A,F,125,114,2005
A,F,125,116,2005
A,F,125,113,2005
A,F,126,108,2005
A,F,126,132,2005
A,F,125,127,2005
A,F,125,113,2006
A,F,134,110,2007
A,F,124,105,2007
A,F,124,95,2007
A,M,130,100,2003
F,M,130,121,2003
A,M,132,129,2004
A,F,129,111,2003
U,F,126,112,2003
F,M,131,136,2003
A,M,133,134,2003
A,M,133,130,2003
F,F,126,133,2003
F,M,134,98,2003
F,M,133,103,2003
F,M,125,120,2003
F,M,126,111,2003
U,M,,119,2003
F,F,130,130,2003
A,F,133,118,2005
A,F,134,126,2005
A,F,134,126,2005
A,F,134,128,2005
F,F,126,115,1995
A,F,126,110,1996
A,F,129,126,1995
A,F,126,115,1995
F,M,135,113,1995
F,M,131,121,1995
F,M,131,110,1995
F,M,130,89,1995
F,F,124,108,1995
F,F,127,107,1995
F,F,128,109,1995
F,F,126,98,1995
F,F,127,100,1995
A,M,132,103,1995
A,M,,110,1995
F,F,126,100,1995
F,M,135,115,1995
F,M,136,122,1995
F,M,136,114,1995
A,M,130,118,1995
F,M,129,110,1995
A,M,131,117,1995
A,F,132,129,1995
F,F,123,107,1995
F,F,124,102,1995
A,M,138,128,1995
F,M,128,95,1995
F,F,123,95,1995
F,F,121,92,1995
F,F,122,91,1995
F,F,123,96,1995
F,F,123,94,1995
F,F,121,92,1995
A,F,124,82,1995
F,M,135,100,1995
J,M,131,,1995
J,M,124,79,1995
J,M,127,94,1995
F,M,127,92,1996
J,U,133,100,1995
J,M,128,99,1995
J,U,125,94,1995
J,F,123,,1995
F,M,128,98,1995
A,F,131,100,1995
F,M,131,119,1995
A,F,121,115,1995
A,F,122,98,1996
F,F,129,116,1995
F,F,128,114,1996
F,F,129,104,1996
F,F,129,95,1996
F,M,137,103,1996
F,F,132,110,1996
F,F,125,124,1996
F,F,128,106,1996
A,M,133,107,1996
A,M,133,94,1996
A,M,133,109,1996
F,M,128,97,1996
F,M,127,95,1996
F,M,135,107,1996
F,M,134,97,1996
F,F,132,105,1996
F,M,127,106,1996
F,F,126,117,1996
F,F,126,118,1996
F,F,125,115,1996
F,F,127,111,1996
F,F,123,99,1996
F,F,124,92,1996
F,F,122,95,1996
F,M,133,104,1996
F,M,132,90,1996
A,M,137,112,1996
F,F,127,98,1996
F,M,135,110,1996
F,M,135,110,1996
F,M,134,109,1996
F,M,135,101,1996
F,M,135,112,1996
A,M,136,111,1996
F,M,130,108,1996
F,M,130,102,1996
F,M,129,101,1996
F,M,127,93,1996
F,F,127,92,1996
F,F,126,98,1996
U,F,127,100,1996
A,M,133,103,1996
F,M,128,99,1996
F,M,133,108,1996
F,F,126,112,1996
F,M,137,112,1996
F,M,130,108,1996
F,M,131,96,1996
F,F,,98,1996
F,F,128,90,1996
F,M,134,108,1996
F,M,135,109,1996
A,M,135,94,1996
F,F,122,86,1996
A,F,132,102,1996
A,M,134,89,1996
F,F,127,105,1996
F,M,133,110,1996
F,F,130,107,1996
A,F,132,114,1996
F,M,133,117,1996
A,M,137,121,1996
F,F,125,,1996
J,M,133,90,1996
A,M,133,,1996
J,U,125,98,1996
J,U,126,98,1996
J,M,126,92,1996
J,M,125,96,1996
J,U,121,87,1996
J,M,133,98,1996
J,M,133,97,1996
J,U,115,83,1996
J,U,117,86,1996
J,U,120,81,1996
J,M,133,94,1996
A,F,130,,1996
U,F,,112,1997
A,M,134,98,1996
J,M,126,98,1996
J,M,127,94,1996
J,M,129,85,1996
J,M,128,83,1996
J,F,130,85,1996
J,F,132,95,1996
J,M,123,,1996
J,M,132,96,1996
J,M,125,95,1996
J,F,125,94,1996
J,M,123,,1996
J,M,132,108,1996
J,F,123,99,1996
J,F,125,100,1996
F,M,129,,1996
F,M,129,119,1997
F,M,128,114,1997
F,M,129,105,1997
F,M,129,100,1997
F,M,127,109,1997
A,M,132,125,1998
A,M,132,134,1998
A,M,132,101,1998
A,M,134,122,1998
A,M,133,120,1998
A,M,134,136,1999
A,M,133,131,1999
A,M,135,128,1999
F,M,135,114,1996
F,M,135,132,1997
F,M,130,120,1996
A,M,130,120,1996
A,F,130,125,1996
F,F,123,122,1996
A,F,126,102,1997
A,F,128,136,1996
A,F,128,120,1997
A,M,132,125,1997
F,M,134,129,1997
A,F,134,128,1997
F,F,126,128,1997
F,F,127,105,1997
A,M,137,117,1997
F,F,123,132,1997
F,M,127,126,1997
F,M,130,136,1997
A,M,136,142,1997
A,M,136,120,1997
F,M,133,110,1997
F,M,130,140,1997
U,F,132,136,1997
F,M,129,122,1997
F,F,131,142,1997
F,F,130,116,1997
F,F,132,128,1997
F,M,132,113,1997
A,F,129,120,1997
F,F,132,135,1997
F,M,132,128,1997
F,M,132,102,1997
F,M,129,125,1997
F,F,131,129,1997
F,F,127,94,1997
F,F,129,118,1997
F,M,133,114,1997
F,M,131,107,1997
A,F,129,129,1997
A,F,127,119,1997
A,F,127,110,1997
F,F,125,94,1997
F,F,126,111,1997
F,F,128,135,1997
F,F,128,128,1997
F,F,128,125,1997
F,F,126,122,1997
F,M,132,104,1997
F,M,133,,1997
A,M,135,124,1997
F,F,126,117,1997
F,F,126,103,1997
F,M,134,118,1997
A,M,133,120,1997
A,M,134,113,1997
F,M,131,109,1997
F,M,132,123,1997
F,M,126,112,1997
F,M,127,112,1997
F,M,126,105,1997
F,M,131,119,1997
F,M,131,105,1997
F,M,131,122,1997
U,F,132,123,1997
F,M,129,117,1997
F,M,129,120,1997
A,M,137,132,1997
A,M,137,121,1997
U,F,130,122,1997
F,M,131,112,1997
F,M,132,125,1997
F,F,133,121,1997
F,F,130,111,1997
F,M,130,103,1997
F,F,131,110,1997
F,M,130,,1997
F,F,131,105,1997
F,M,131,120,1997
F,F,124,112,1997
F,F,122,115,1997
F,F,126,98,1997
F,F,128,106,1997
F,M,130,105,1997
F,M,130,103,1997
A,M,132,111,1997
A,M,133,110,1997
A,M,132,93,1998
A,M,134,91,1998
F,F,125,106,1997
F,M,135,109,1997
A,F,125,98,1997
A,F,127,116,1997
J,U,,90,1997
F,M,,94,1997
U,F,,96,1997
U,F,127,105,1997
J,U,124,99,1997
J,M,126,104,1997
F,M,130,95,1997
F,M,129,87,1998
F,M,125,100,1997
F,M,134,124,1997
A,M,134,118,1997
F,F,119,,1997
F,F,120,110,1998
F,M,133,125,1998
A,F,129,134,1998
A,F,130,121,1998
A,F,130,130,1999
F,M,131,98,1998
F,M,131,96,1998
A,M,135,99,1999
A,M,134,123,1999
A,F,128,116,1998
A,F,128,124,1998
U,F,127,95,1998
A,F,127,103,1998
A,F,129,100,2000
A,F,129,94,2000
A,F,129,96,2001
A,F,129,117,2001
F,F,126,112,1998
F,F,122,103,1998
F,F,123,102,1998
F,F,122,99,1998
A,M,137,103,1998
A,F,130,108,1998
A,M,134,101,1998
F,F,129,92,1998
U,F,125,98,1998
A,M,134,98,1998
A,M,132,99,1998
F,F,121,98,1998
F,F,127,112,1998
F,F,125,102,1998
U,F,128,104,1998
J,U,127,98,1998
J,U,127,90,1998
F,F,124,,1998
J,M,,100,1998
A,M,134,90,1998
J,F,124,93,1998
J,M,131,101,1998
A,M,134,110,1998
F,M,130,104,1998
F,M,128,96,1998
F,M,132,128,1998
A,M,138,132,1998
F,M,127,114,1998
F,M,127,112,1998
F,M,131,102,1998
F,M,130,108,1998
F,M,130,108,1998
F,M,133,114,1998
F,F,120,,1998
F,M,130,104,1998
F,F,126,103,1998
A,M,135,118,1998
A,F,131,96,1998
A,F,128,,1998
A,M,132,111,1998
F,M,133,118,1998
A,M,135,132,1998
F,F,126,110,1998
F,M,130,118,1998
A,M,,122,1998
F,F,127,108,1998
F,F,136,99,1998
F,F,127,108,1998
F,M,134,112,1998
F,M,134,117,1999
F,M,134,115,1999
F,M,133,109,1999
F,M,133,99,1999
A,M,136,128,2000
A,M,,126,2000
A,M,136,126,2000
A,M,136,129,2000
A,M,136,129,2000
A,M,136,126,2000
F,F,133,113,1998
F,F,125,116,1998
F,F,124,110,1999
F,F,118,96,1999
F,F,122,97,1999
A,F,123,107,2003
A,F,123,108,2004
A,F,124,98,2004
F,F,128,120,1998
F,M,132,,1998
F,M,130,119,1999
F,M,129,115,1999
F,M,129,113,1999
F,M,126,105,1999
F,M,131,110,1999
F,F,125,97,1999
J,M,130,99,1999
F,F,,96,1999
J,M,124,,1999
F,F,121,112,1999
F,F,126,112,1999
F,F,127,112,1999
F,F,127,109,2000
F,M,125,118,1999
A,M,135,124,1999
A,M,135,114,1999
A,M,135,119,1999
A,M,134,98,2000
A,M,134,101,2001
A,M,135,100,2001
A,M,135,100,2002
U,M,133,89,2002
A,M,134,93,2002
U,M,121,135,2003
A,M,135,113,2003
A,M,135,123,2003
A,M,135,134,2004
A,M,133,123,2004
A,M,135,110,2004
A,M,133,110,2004
A,M,134,95,2004
F,F,127,115,1999
F,F,127,89,2000
F,F,130,117,1999
F,F,130,111,1999
A,M,133,132,1999
A,M,130,126,2000
A,M,133,123,2000
A,M,134,120,2000
A,M,134,114,2000
A,M,133,112,2000
A,F,125,128,1999
A,F,125,93,2000
F,M,130,134,1999
F,M,130,,2000
F,M,124,100,1999
F,F,128,130,2000
F,F,129,114,2000
F,M,130,127,2000
F,M,133,120,2000
A,M,137,125,2000
A,M,136,123,2000
F,M,134,128,2000
F,M,133,119,2000
F,F,130,122,2000
F,F,130,116,2000
F,M,136,,2000
F,M,134,134,2000
F,F,131,128,2000
F,F,128,109,2000
A,M,136,140,2000
A,M,134,121,2000
U,M,,101,2003
A,M,140,105,2005
A,M,140,101,2005
A,M,140,94,2005
A,M,141,92,2005
A,M,,98,2005
A,M,139,95,2005
A,M,140,94,2006
A,M,140,93,2007
F,M,135,119,2000
A,M,134,127,2000
A,M,134,120,2000
A,F,132,127,2000
A,F,132,113,2003
F,M,134,121,2000
U,F,124,105,2000
A,F,126,124,2000
F,M,125,101,2000
F,M,128,100,2000
F,M,131,106,2000
F,M,130,,2000
F,M,130,106,2000
F,M,129,109,2000
A,M,135,114,2000
A,F,127,101,2000
F,M,129,97,2000
F,M,129,103,2000
F,F,123,98,2000
A,F,127,103,2000
F,F,124,93,2000
J,M,,95,2000
F,M,126,103,2000
F,M,126,114,2001
F,M,135,124,2001
A,M,,103,2003
F,F,121,109,2000
A,F,125,102,2005
A,F,126,107,2005
U,F,,89,2009
F,M,128,128,2000
A,M,130,102,2005
A,M,134,120,2000
F,M,133,130,2000
F,F,124,109,2000
F,F,123,108,2001
F,F,126,119,2001
F,F,127,121,2001
F,F,126,103,2001
A,F,129,129,2001
A,F,130,103,2003
A,F,127,138,2003
A,F,127,125,2004
A,F,127,110,2004
A,F,128,104,2004
A,M,136,118,2001
F,F,127,117,2001
F,M,132,121,2001
F,M,133,108,2001
A,M,136,99,2001
A,F,130,116,2001
F,F,128,102,2001
A,F,130,125,2002
A,F,130,119,2002
F,M,133,108,2001
F,M,132,102,2001
A,M,133,121,2004
A,M,134,120,2004
A,M,133,115,2004
A,M,,112,2004
A,M,134,117,2004
A,M,133,115,2004
F,F,121,94,2001
F,F,128,91,2001
J,F,128,93,2001
J,M,127,95,2001
J,F,124,98,2001
J,M,127,96,2001
A,M,140,96,2001
A,M,139,115,2002
F,M,130,105,2001
A,M,138,132,2001
A,M,134,131,2001
A,M,135,134,2002
A,M,129,137,2001
A,F,127,118,2001
A,M,137,140,2001
F,M,127,114,2001
A,M,137,107,2001
F,M,132,109,2001
A,M,138,115,2001
F,F,127,115,2001
A,M,135,127,2001
F,M,130,107,2001
F,M,127,126,2001
A,M,133,130,2001
A,M,136,133,2001
A,M,132,98,2001
A,M,133,134,2001
A,M,137,104,2001
A,F,127,112,2001
A,F,129,128,2001
F,F,128,124,2001
A,M,132,131,2001
A,M,133,110,2001
A,M,133,102,2002
A,F,132,115,2001
A,F,129,129,2001
A,M,132,132,2001
A,M,131,131,2002
A,M,136,118,2001
A,M,135,129,2001
A,M,136,113,2001
A,M,137,142,2001
A,M,,137,2001
A,M,135,131,2001
A,M,,129,2001
A,F,129,128,2001
A,M,131,128,2001
F,M,130,120,2001
A,F,134,128,2001
A,F,129,100,2002
A,F,128,113,2002
A,M,134,122,2002
A,M,137,126,2002
F,F,133,124,2002
F,F,133,135,2002
F,F,128,113,2002
A,M,132,114,2002
A,M,,118,2002
A,M,132,106,2002
A,F,131,117,2002
F,M,,119,2002
F,M,130,111,2002
F,M,137,120,2002
U,F,129,107,2002
A,F,125,134,2002
A,F,127,116,2003
A,F,125,100,2002
A,M,140,133,2002
F,M,126,119,2002
A,M,130,133,2002
A,F,127,116,2002
F,M,127,108,2002
F,M,134,109,2002
A,F,133,138,2002
F,M,133,102,2002
A,M,133,107,2002
A,M,,106,2002
A,M,133,100,2002
F,F,125,124,2002
F,M,133,126,2002
A,F,129,130,2002
A,F,128,117,2002
A,M,133,125,2002
A,M,136,135,2002
A,M,135,138,2002
A,M,133,138,2002
F,M,131,113,2002
F,M,132,111,2002
A,F,123,109,2002
A,F,124,102,2002
A,F,131,107,2004
A,F,130,105,2004
A,F,130,106,2005
A,F,131,120,2005
A,F,130,118,2005
A,F,131,124,2005
A,F,131,102,2006
A,F,131,118,2006
U,F,130,97,2006
A,F,130,105,2007
A,F,131,103,2007
F,F,129,102,2002
F,M,130,97,2002
F,M,130,94,2002
A,M,133,106,2003
F,F,129,103,2002
F,M,134,124,2002
A,M,139,137,2003
A,M,137,128,2004
F,M,127,96,2003
A,M,131,132,2004
A,M,133,96,2005
A,M,133,103,2003
J,M,131,97,2003
J,M,126,93,2003
F,M,,102,2003
A,M,133,123,2003
A,M,135,98,2005
U,M,133,109,2003
A,M,134,128,2003
F,F,129,111,2003
F,F,130,124,2003
F,F,127,121,2003
F,M,133,109,2003
A,M,130,104,2003
A,M,134,103,2003
F,M,127,126,2003
F,M,136,114,2003
F,F,124,102,2003
F,M,134,110,2003
A,M,128,98,2003
A,M,137,124,2003
A,M,138,133,2003
A,F,123,109,2003
A,F,122,119,2003
A,F,127,106,2003
F,F,125,110,2003
F,M,128,115,2003
F,M,137,121,2003
F,M,128,117,2003
F,M,129,117,2003
A,M,131,119,2003
A,M,132,102,2005
A,M,,102,2005
A,M,131,116,2005
A,M,132,96,2006
A,M,130,94,2006
A,M,132,98,2007
A,M,131,99,2008
A,F,131,114,2003
F,F,128,107,2003
F,F,127,107,2003
F,F,127,122,2003
A,M,135,112,2003
A,M,135,125,2004
F,M,131,123,2003
F,M,131,122,2003
F,M,131,130,2004
F,F,127,110,2003
F,F,127,112,2003
A,F,132,118,2003
F,M,130,121,2003
F,F,125,112,2003
F,M,130,120,2003
F,M,131,99,2004
F,F,121,119,2003
A,F,128,112,2005
A,M,134,135,2003
F,M,133,119,2003
A,F,128,126,2003
F,F,124,130,2003
F,M,127,114,2003
F,M,130,122,2003
A,M,,83,2010
F,M,127,110,2003
F,M,127,106,2004
A,M,134,120,2003
F,F,130,127,2003
F,F,124,121,2003
A,M,131,123,2003
A,M,132,101,2004
A,M,132,103,2005
A,M,133,97,2006
