Age,Sex,Wing,Weight,Year
F,M,130,110,2006
F,M,130,111,2006
F,M,132,125,2006
F,M,126,106,2006
F,M,130,114,2006
A,M,136,125,2006
F,M,128,106,2006
F,M,130,109,2006
A,M,136,112,2009
F,M,136,119,2006
F,M,132,109,2006
F,M,128,107,2006
F,M,128,102,2006
F,F,122,116,2006
F,F,123,112,2006
F,F,122,113,2006
J,U,122,104,2006
U,F,127,104,2007
A,F,126,105,2008
A,F,,103,2008
A,F,125,101,2008
F,M,136,116,2006
F,M,135,115,2006
F,M,134,112,2006
F,M,134,109,2006
F,M,135,109,2006
F,M,134,105,2006
F,M,134,110,2006
A,F,126,112,2006
F,M,134,111,2006
F,M,133,106,2006
F,M,133,119,2006
F,M,133,115,2006
A,M,134,106,2006
A,M,134,105,2006
F,F,127,102,2006
A,F,125,114,2006
F,M,128,106,2006
F,M,132,116,2006
A,M,131,98,2006
A,M,132,94,2006
F,M,129,98,2006
F,M,135,111,2006
F,M,134,99,2006
F,M,134,109,2006
F,M,127,110,2006
F,M,135,122,2006
F,M,135,124,2006
F,M,131,100,2006
A,M,136,114,2006
A,M,135,106,2006
A,F,131,115,2006
A,F,130,98,2006
A,M,136,126,2006
A,U,130,98,2006
A,M,131,91,2006
A,M,139,120,2006
F,M,132,119,2006
F,M,128,101,2006
A,M,131,99,2009
A,F,125,92,2006
A,F,126,90,2006
F,F,126,106,2006
F,F,126,103,2006
A,F,128,106,2007
A,F,129,104,2008
J,M,129,93,2006
J,M,130,97,2006
A,F,131,106,2006
J,U,125,95,2006
A,F,126,110,2006
A,F,125,94,2008
A,F,127,106,2009
A,F,127,106,2009
A,F,127,100,2010
J,U,,92,2006
J,U,,90,2006
F,M,,92,2006
J,M,126,104,2006
J,M,128,109,2006
A,M,129,104,2008
J,M,128,96,2006
J,U,128,96,2006
J,U,125,97,2006
U,F,124,99,2007
A,F,128,112,2008
A,F,,102,2008
J,U,125,92,2006
J,F,127,101,2006
J,F,123,102,2006
U,F,122,104,2007
J,M,131,97,2006
F,M,130,95,2007
F,M,129,94,2007
F,M,131,93,2007
J,U,126,97,2006
F,F,126,96,2007
F,F,126,94,2007
F,F,,91,2007
F,F,,91,2007
F,F,125,90,2007
F,F,124,94,2007
F,F,,93,2007
F,F,127,104,2006
F,M,128,105,2006
A,M,129,119,2008
A,M,130,116,2008
F,M,131,104,2006
F,M,131,107,2007
F,M,131,103,2007
F,M,127,102,2006
F,F,128,106,2006
F,M,129,101,2006
F,F,122,104,2006
F,F,123,101,2007
F,F,122,96,2007
A,F,125,104,2008
A,F,125,96,2008
F,M,138,112,2007
F,F,124,100,2007
J,U,127,97,2007
A,F,126,102,2008
A,F,125,83,2008
A,F,124,88,2009
A,F,125,89,2010
F,M,127,102,2007
F,M,129,102,2007
F,M,130,95,2007
F,M,128,95,2007
U,M,132,113,2007
A,M,134,127,2007
A,M,133,127,2007
A,M,131,104,2008
A,M,132,96,2008
A,M,132,97,2008
A,M,131,95,2008
U,M,,109,2008
A,M,133,108,2009
A,M,133,99,2009
A,M,133,96,2009
A,M,132,99,2009
A,M,134,139,2010
A,M,133,96,2010
A,M,133,96,2010
A,M,132,100,2011
A,M,132,97,2011
A,M,133,99,2011
A,M,133,94,2012
F,F,125,90,2007
F,M,127,105,2007
F,M,122,98,2007
F,M,127,101,2007
F,M,128,94,2007
A,M,134,107,2007
F,M,132,108,2007
